key_G#,track_name,artist_count_2,key_A,artist_count_6,artist_count_3,valence_%,in_apple_charts,cover_url,key_G,released_month,release_3,release_2,release_1,streams,artist_count_7,key_A#,mode_Major,key_C#,in_apple_playlists,in_spotify_playlists,key_B,party_val,mode_Minor,in_shazam_charts,released_day,danceability_%,artist_count_4,released_year,artist_count_1,artist_count_8,instrumentalness_%,acousticness_%,key_not provided,season_3,bpm,key_F#,artist(s)_name,speechiness_%,energy_%,in_spotify_charts,in_deezer_playlists,liveness_%,key_E,concert_val,in_deezer_charts,key_D#,key_F,artist_count_5,season_2,season_1,key_D
0.0,Flowers,0.0,0.0,0.0,0.0,65,3.213306431231325,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,0.0,1,0,0,1,1.4173915408411233,0.0,0.0,1.0,0.0,2.6817269316168053,0.8171801180604614,0.0,0.3269222028914988,0.0,6.403503476564905,12,71,0.0,2023,1.0,0.0,0,6,1.0,0,-0.13248848676146452,0.0,Miley Cyrus,7,68,5.015793814532037,0.284395687100621,3,0.0,-1.2917546437966356,8.635089600604989,0.0,0.0,0.0,0,1,0.0
0.0,Creep,0.0,0.0,0.0,0.0,12,0.4030468614848735,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,1.0,9,1,0,0,1.3367105042790985,0.0,0.0,1.0,0.0,0.908367730845341,3.7560763813997755,0.0,-1.8705306673394715,0.0,0.14971128632423603,21,53,0.0,1992,1.0,0.0,0,1,0.0,1,-1.0481684079229794,0.0,Radiohead,4,34,-0.26402294793777303,5.32331858580199,12,0.0,-1.2584912789732887,0.35282444433709315,0.0,0.0,0.0,0,0,0.0
0.0,LA CANCIï¿½,1.0,0.0,0.0,0.0,43,1.1301769599507385,Not Found,1.0,6,0,1,0,1.6268247312329334,0.0,0.0,1.0,0.0,1.2653426348967396,0.12025179517907471,0.0,0.4532765318637148,0.0,-0.34873123680865464,28,75,0.0,2019,0.0,0.0,0,15,0.0,0,1.9101821065988378,0.0,"J Balvin, Bad Bunny",32,65,0.9092696659444071,-0.08134599475827078,11,0.0,0.10530667878392878,0.040286136553399,0.0,0.0,0.0,1,0,0.0
0.0,California Love - Original Version (Explicit),0.0,0.0,0.0,1.0,76,-0.6778222038022231,Not Found,1.0,12,1,0,0,0.11151239038443395,0.0,0.0,1.0,0.0,0.7010919801058192,1.6039070498938797,0.0,1.202500098576508,0.0,-0.3819607383508474,28,77,0.0,1995,0.0,0.0,0,3,0.0,1,-1.0481684079229794,0.0,"Dr. Dre, 2Pac, Roger",4,84,-0.6062332936534088,1.0474658324334907,38,0.0,-0.3271170639195792,-0.4285213251221422,0.0,0.0,0.0,0,0,0.0
0.0,Snow On The Beach (feat. More Lana Del Rey),1.0,0.0,0.0,0.0,32,-1.011909005800053,Not Found,0.0,5,0,0,1,-0.8076005092302494,0.0,0.0,0.0,0.0,-0.7613535945563625,-0.6037719691217501,0.0,-1.055183669099976,1.0,-0.3819607383508474,26,66,0.0,2023,0.0,0.0,0,81,0.0,0,-0.4142361548111614,1.0,"Lana Del Rey, Taylor Swift",3,40,-0.5084589091632272,-0.3273903989178889,11,0.0,1.3360511772477597,-0.4285213251221422,0.0,0.0,0.0,1,0,0.0
0.0,It'll Be Okay,0.0,0.0,0.0,0.0,7,-0.854691687212839,Not Found,1.0,12,0,1,0,-0.4058986167770065,0.0,0.0,1.0,0.0,-0.12801102285226815,-0.4130248571822548,0.0,-2.638500092714279,0.0,-0.31550173526646197,1,40,0.0,2021,1.0,0.0,0,62,0.0,1,-1.541226827009949,0.0,Shawn Mendes,3,29,-0.6062332936534088,-0.24842344488017362,9,0.0,0.6375205159574774,-0.4285213251221422,0.0,0.0,0.0,0,0,0.0
0.0,Cigarettes,0.0,0.0,0.0,0.0,47,-1.011909005800053,https://i.scdn.co/image/ab67616d0000b2737459992b444de38842b9bee7,0.0,12,0,1,0,-0.5861505041529553,0.0,0.0,1.0,0.0,-0.6462003997010727,-0.5299189075537243,0.0,-0.3176179585521114,0.0,-0.3819607383508474,10,60,0.0,2021,1.0,0.0,0,3,0.0,1,1.346686770499444,0.0,Juice WRLD,4,62,-0.6062332936534088,-0.32655916782275507,38,0.0,-0.3271170639195792,-0.4285213251221422,0.0,0.0,0.0,0,0,1.0
0.0,Forget Me,0.0,0.0,0.0,0.0,72,0.855046652423114,https://i.scdn.co/image/ab67616d0000b2737cdf9838412bb52df6e9a952,0.0,9,0,0,1,-0.4905235891105851,0.0,0.0,0.0,1.0,0.2980557981123045,-0.34468679696508797,0.0,0.38657656812863883,1.0,0.9605111239537382,9,67,0.0,2022,1.0,0.0,0,30,0.0,1,-0.6959838228608582,0.0,Lewis Capaldi,4,74,-0.4106845246730455,-0.26504806678285053,36,0.0,0.5044670566640901,0.9779010599044813,0.0,0.0,0.0,0,0,0.0
0.0,Do They Know It's Christmas? - 1984 Version,0.0,0.0,0.0,0.0,23,-0.4223440610980003,https://i.scdn.co/image/ab67616d0000b273d549b09f0264901929eaa6e8,0.0,11,1,0,0,-0.06148862042798891,0.0,0.0,1.0,0.0,1.6338328584336672,1.051927349473115,0.0,-0.5910691358882945,0.0,-0.3819607383508474,25,60,0.0,1984,1.0,0.0,2,0,1.0,1,-0.23814386228010084,0.0,Band Aid,3,57,-0.6062332936534088,0.038351282941002894,27,0.0,-0.8260675362697808,-0.4285213251221422,0.0,0.0,0.0,0,0,0.0
0.0,Peaches (feat. Daniel Caesar & Giveon),0.0,0.0,0.0,1.0,49,0.01000356501683836,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,0.0,3,0,1,0,1.645974125640428,0.0,0.0,1.0,0.0,1.887169887115305,1.0484505007953995,0.0,-0.046248249943962316,0.0,0.0,19,63,0.0,2021,0.0,0.0,0,38,1.0,0,-1.1186053249354035,0.0,"Justin Bieber, Daniel Caesar, Giveon",18,68,-0.6062332936534088,0.17384195144781964,42,0.0,1.4358412717177995,0.5090935982289402,0.0,0.0,0.0,0,1,0.0
0.0,Acapulco,0.0,0.0,0.0,0.0,51,-0.9136481816830443,https://i.scdn.co/image/ab67616d0000b2738544aa5ba43894b7103ec757,0.0,9,0,1,0,-0.2708473318862739,0.0,1.0,1.0,0.0,0.5053315488518263,-0.2753896060782066,0.0,1.03873886027856,0.0,-0.3819607383508474,1,77,0.0,2021,1.0,0.0,0,5,0.0,1,0.00838534726338393,0.0,Jason Derulo,5,79,-0.6062332936534088,-0.18358741945973373,16,0.0,-0.9591209955631679,-0.2722521712302951,0.0,0.0,0.0,0,0,0.0
0.0,Shake It Off,0.0,0.0,0.0,0.0,95,0.36374253183807,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,1.0,1,1,0,0,1.0578937292805028,0.0,0.0,1.0,0.0,3.004155877211617,1.9110686468699871,0.0,0.6375132254488007,0.0,-0.2490427321820765,1,65,0.0,2014,1.0,0.0,0,5,0.0,0,1.346686770499444,0.0,Taylor Swift,16,80,0.029300205532771968,0.8105649703203449,41,0.0,0.2383601380773161,0.9779010599044813,0.0,0.0,0.0,0,1,0.0
1.0,Swim,0.0,0.0,0.0,0.0,8,-0.9922568409766512,https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6,0.0,10,0,1,0,-0.030919905563993655,0.0,0.0,1.0,0.0,-0.7152923166142466,-0.31807092088050726,0.0,-0.4176467021551526,0.0,-0.3819607383508474,4,67,0.0,2017,1.0,0.0,0,27,0.0,1,-0.06205156974904029,0.0,Chase Atlantic,4,54,-0.6062332936534088,-0.28333515087579514,8,0.0,-0.5266972528596598,-0.4285213251221422,0.0,0.0,0.0,0,0,0.0
0.0,Better Days (NEIKED x Mae Muller x Polo G),0.0,0.0,0.0,1.0,67,-0.9726046761532495,https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf,0.0,9,0,1,0,-0.16889835951685173,0.0,0.0,0.0,0.0,0.4362396319386524,-0.15633751169987922,0.0,0.35674938551006885,1.0,-0.37531483804240884,24,72,0.0,2021,0.0,0.0,0,0,1.0,1,-0.4142361548111614,0.0,"NEIKED, Mae Muller, Polo G",4,68,-0.6062332936534088,-0.2741916088293228,14,0.0,-1.225227914149942,1.6029776754718696,0.0,0.0,0.0,0,0,0.0
0.0,Con La Brisa,1.0,0.0,0.0,0.0,25,-0.9922568409766512,Not Found,0.0,11,0,0,1,-0.7885731958174069,0.0,0.0,0.0,0.0,-0.6807463581576596,-0.5885457697400305,0.0,-1.0493335390179368,1.0,-0.3819607383508474,4,62,0.0,2022,0.0,0.0,33,51,0.0,1,-0.27336232078631295,0.0,"Ludwig Goransson, Foudeqush",3,44,-0.6062332936534088,-0.32905286110815657,14,0.0,0.43794032701739677,-0.4285213251221422,0.0,0.0,0.0,0,0,1.0
